id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
102148,boardgame,NOIR: Deductive Mystery Game,2012,2,9,5,5,5,8,452,6.72767,5.97986,1307,56,62,202,166,41,1.4878
10947,boardgame,Master Thieves,2004,2,8,60,60,60,10,617,6.51855,5.97925,639,15,138,325,231,71,2.338
125993,boardgame,France '40,2013,2,2,240,240,240,12,170,7.94735,5.97922,683,11,33,94,87,33,2.8485
2077,boardgame,Hell's Highway,1983,2,2,360,360,360,12,273,7.26611,5.97918,849,30,37,61,136,57,3.6667
2470,boardgame,The Extraordinary Adventures of Baron Munchausen,1998,3,20,45,45,45,10,264,7.26969,5.97914,667,8,74,259,159,21,1.5714
2633,boardgame,Dog,1997,2,6,45,45,45,9,753,6.42884,5.97911,854,20,26,82,210,79,1.443
22245,boardgame,Times Square,2006,2,2,30,30,30,12,980,6.32438,5.97896,1512,113,58,165,422,115,1.6783
3895,boardgame,Silent Death,1990,2,8,120,120,120,10,367,6.94755,5.97869,623,33,34,75,159,59,2.7797
1212,boardgame,Nuclear Proliferation,1992,2,6,30,30,30,10,664,6.5284,5.97865,1200,39,31,55,184,63,1.4762
4471,boardgame,Fist of Dragonstones,2002,3,6,45,45,45,8,1882,6.17618,5.97864,2068,121,88,241,764,225,1.8711
9617,boardgame,Russian Rails,2004,2,6,240,180,240,10,351,6.93727,5.97841,546,11,23,52,134,55,2.7636
1493,boardgame,1853,1989,3,6,180,180,180,12,331,6.96722,5.97814,881,30,71,135,171,47,4.1064
3263,boardgame,Ukraine '43,2000,2,4,360,360,360,12,187,7.7994,5.97805,757,21,57,112,103,35,3.5429
21373,boardgame,Federation Commander:  Romulan Border,2006,2,8,60,60,60,10,213,7.67522,5.97764,510,17,61,89,67,38,3.5263
99312,boardgame,Feudality,2011,2,6,90,60,90,10,544,6.59586,5.97738,767,28,65,223,171,56,2.1429
91034,boardgame,Khet 2.0,2011,2,2,30,30,30,9,351,6.98974,5.97666,835,54,27,107,107,29,2.8621
28396,boardgame,It's Alive!,2007,2,5,30,30,30,12,983,6.31584,5.97611,1117,82,37,192,391,130,1.6231
1350,boardgame,Das Amulett,2001,3,6,60,60,60,12,640,6.49991,5.97548,755,53,40,74,223,55,2.6
170,boardgame,Family Business,1982,2,6,30,30,30,8,2999,6.12336,5.97511,4230,289,44,197,1037,355,1.3324
73538,boardgame,Pirate Fluxx,2011,2,6,40,10,40,8,1321,6.30644,5.97492,2948,63,22,151,275,98,1.449
168609,boardgame,"Artifacts, Inc.",2015,2,4,60,60,60,13,310,7.03935,5.97458,887,12,146,591,129,33,2.2727
152899,boardgame,Pixel Tactics 3,2014,2,2,30,30,30,12,228,7.45026,5.97452,952,24,38,123,61,11,2.3636
13005,boardgame,Tanz der Hornochsen!,2004,2,8,30,30,30,8,608,6.52484,5.97437,550,15,45,68,198,73,1.4247
30932,boardgame,Lascaux,2007,3,5,25,25,25,8,858,6.35342,5.97437,899,62,56,195,318,103,1.5922
192,boardgame,Nicht die Bohne!,1999,3,6,45,45,45,10,833,6.36031,5.97433,913,26,44,98,266,98,1.3776
831,boardgame,Schrille Stille,1999,3,6,60,60,60,10,602,6.52813,5.97402,617,30,33,64,220,77,1.7662
33665,boardgame,Battle Above the Clouds,2010,2,2,180,180,180,0,158,8.10107,5.97397,702,10,54,124,92,30,3.7667
13751,boardgame,Under the Shadow of the Dragon,2004,2,2,90,90,90,10,603,6.52725,5.97393,1713,149,49,118,323,81,2.4074
25900,boardgame,Kingdom of Heaven: The Crusader States 1097-1291,2012,2,2,180,180,180,12,189,7.68518,5.97391,721,21,139,383,107,38,3.2105
1431,boardgame,War at Sea (second edition),1976,2,2,120,120,120,12,792,6.41269,5.97379,1552,97,25,41,361,124,1.9758
